country,policy,net_2040,lo,hi,tau_star
France,Baseline (no policy),5.286322645873347,3.2111919197778978,7.512529826686868,
France,Renewable Energy Mandate,5.360474848096402,3.290230748987305,7.093085000150801,
France,AI Efficiency Standard,5.966970676497743,3.5795931558949494,7.902171600078098,
France,Combined Policy,7.2716143941057085,5.16380275011153,9.337965208371276,
EU,Baseline (no policy),7.028279633398727,4.18480949055306,9.65181451675343,
EU,Renewable Energy Mandate,9.422123196571222,6.149340456120264,12.723107732497885,
EU,AI Efficiency Standard,8.962040981847775,5.987958654017769,12.03938073757421,
EU,Combined Policy,12.571964007037815,9.468237344832175,15.363141341757878,
US,Baseline (no policy),9.550109846040103,5.244757396137252,14.878893054764282,
US,Renewable Energy Mandate,16.61515066606201,12.086352241216735,21.288326502649564,
US,AI Efficiency Standard,14.084130247209874,8.719483107243674,18.94918851915692,
US,Combined Policy,21.41062480603445,16.92865817493799,26.242909563210645,
China,Baseline (no policy),14.49601216510597,5.871965019444932,22.234105707516502,
China,Renewable Energy Mandate,28.198303640397626,19.869615713824448,36.99405030154802,
China,AI Efficiency Standard,22.046534421009998,15.011106334888238,30.179969791707375,
China,Combined Policy,35.31924307926067,26.55910334743024,44.48709097925229,
Poland,Baseline (no policy),6.68862612879954,1.759763821468912,11.864525320718375,
Poland,Renewable Energy Mandate,18.85074295098998,13.882274780367064,24.76127475871887,
Poland,AI Efficiency Standard,13.155682234917736,8.106698352556785,18.44605945209891,
Poland,Combined Policy,23.968216015360387,19.05429909376203,29.472164690673193,
